venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,speaker,scheduled_date,scheduled_time,duration_minutes
QIP,2026,contributed,Parent Lindbladians for Matrix Product Density Operators,,Yuhan Liu;Alberto Ruiz-de-Alarcon;Georgios Styliaris;Xiao-Qi Sun;David Perez-Garcia;Ignacio Cirac,"Max Planck Institute of Quantum Optics;Universidad Complutense de Madrid, CUNEF Universidad;Max Planck Institute of Quantum Optics;Max Planck Institute of Quantum Optics;Universidad Complutense de Madrid, nstituto de Ciencias Matematicas;Max Planck Institute of Quantum Optics","Understanding quantum phases of matter is a fundamental goal in physics. For pure states, the representatives of phases are the ground states of locally interacting Hamiltonians, which are also renormalization fixed points (RFPs). These RFP states are exactly described by tensor networks. Extending this framework to mixed states, matrix product density operators (MPDOs) which are RFPs are believed to encapsulate mixed-state phases of matter in one dimension, where non-trivial topological phases have already been shown to exist. However, to better motivate the physical relevance of those states, and in particular the physical relevance of the recently found non-trivial phases, it remains an open question whether such MPDO RFPs can be realized as steady states of local Lindbladians. In this work, we resolve this question by analytically constructing parent Lindbladians for MPDO RFPs. These Lindbladians are local, frustration-free, and exhibit minimal steady-state degeneracy. Interestingly, we find that parent Lindbladians possess a rich structure that distinguishes them from their Hamiltonian counterparts. In particular, we uncover an intriguing connection between the non-commutativity of the Lindbladian terms and the fact that the corresponding MPDO RFP belongs to a non-trivial phase.",2501.10552,,,,,,Accepted,Yuhan Liu,27 January,13:30,30
QIP,2026,contributed,Cyclic quantum causal modelling with a graph separation theorem,,Carla Ferradini;Victor Gitton;V. Vilasini,"Institute for Theoretical Physics, ETH Zurich;Institute for Theoretical Physics, ETH Zurich;Inria University Grenoble Alpes","Causal modelling frameworks link observable correlations to causal explanations, which is a crucial aspect of science. These models represent causal relationships through directed graphs, with vertices and edges denoting systems and transformations within a theory. Most studies focus on acyclic causal graphs, where well-defined probability rules and powerful graph-theoretic properties like the d-separation theorem apply. However, understanding complex feedback processes and exotic fundamental scenarios with causal loops requires cyclic causal models, where such results do not generally hold. While progress has been made in classical cyclic causal models, challenges remain in uniquely fixing probability distributions and identifying graph-separation properties applicable in general cyclic models. In cyclic quantum scenarios, existing frameworks have focussed on a subset of possible cyclic causal scenarios, with graph-separation properties yet unexplored. This work proposes a framework applicable to all consistent quantum and classical cyclic causal models on finite-dimensional systems. We address these challenges by introducing a robust probability rule and a novel graph-separation property, p-separation, which we prove to be sound and complete for all such models. Our approach maps cyclic causal models to acyclic ones with post-selection, leveraging the post-selected quantum teleportation protocol. We characterize these protocols and their success probabilities along the way. We also establish connections between this formalism and other classical and quantum frameworks to inform a more unified perspective on causality. This provides a foundation for more general cyclic causal discovery algorithms and to systematically extend open problems and techniques from acyclic informational networks (e.g., certification of non-classicality) to cyclic causal structures and networks.",2502.04168,,,,,,Accepted,Carla Ferradini,26 January,14:00,30
QIP,2026,contributed,"Cloning Games, Black Holes and Cryptography",,Alexander Poremba;Seyoon Ragavan;Vinod Vaikuntanathan,Boston University;MIT;MIT,"In this work, we introduce a new toolkit for analyzing \emph{cloning games}, a notion that captures stronger and more quantitative versions of the celebrated quantum no-cloning theorem. This framework allows us to analyze a new cloning game based on \emph{binary phase states}. Our results provide evidence that these games may be able to overcome important limitations of previous candidates based on BB84 states and subspace coset states: in a model where the adversaries are restricted to making a single oracle query, we show that the binary phase variant is $t$-copy secure when $t=o(n/\log n)$. Moreover, for constant $t$, we obtain the \emph{first} optimal bounds of $O(2^{-n})$, asymptotically matching the value attained by a trivial adversarial strategy. We also show a worst-case to average-case reduction which allows us to show the same quantitative results for the new and natural notion of \emph{Haar cloning games}.

Our analytic toolkit, which we believe will find further applications, is based on binary subtypes and uses novel bounds on the operator norms of block-wise tensor products of matrices. To illustrate the effectiveness of these new techniques, we present two applications: first, in black-hole physics, where our asymptotically optimal bound offers quantitative insights into information scrambling in idealized models of black holes; and second, in unclonable cryptography, where we (a) construct succinct unclonable encryption schemes from the existence of pseudorandom unitaries, and (b) propose and provide evidence for the security of multi-copy unclonable encryption schemes.",2411.04730,,,,,,Accepted,Alexander Poremba,30 January,13:30,30
QIP,2026,contributed,The abelian state hidden subgroup problem: Learning stabilizer groups and beyond,,Marcel Hinsche;Jose Carrasco;Jens Eisert,Freie Universität Berlin;Freie Universität Berlin;Freie Universität Berlin,"Identifying the symmetry properties of quantum states is a central theme in quantum information theory and quantum many-body physics. In this work, we investigate quantum learning problems in which the goal is to identify a hidden symmetry of an unknown quantum state. Building on the recent formulation of the state hidden subgroup problem (StateHSP), we focus on abelian groups and develop an efficient quantum algorithm that learns any hidden symmetry subgroup using a generalized form of Fourier sampling. We showcase the versatility of the approach in three concrete applications: These are learning (i) qubit and qudit stabilizer groups, (ii) cuts along which a state is unentangled, and (iii) hidden translation symmetries. Through these applications, we reveal that well-known quantum learning primitives, such as Bell sampling and Bell difference sampling, are in fact special cases of Fourier sampling. Our results highlight the broad potential of the StateHSP framework for symmetry-based quantum learning tasks.",2505.15770,,,,,,Accepted,Marcel Hinsche,29 January,13:00,30
QIP,2026,contributed,The Jacobi Factoring Circuit: Quantum Factoring in Near-Linear Gates and Sublinear Space,,Gregory D. Kahanamoku-Meyer;Seyoon Ragavan;Vinod Vaikuntanathan;Katherine Van Kirk,MIT;MIT;MIT;Harvard,"We present a compact quantum circuit for factoring a large class of integers, including some whose classical hardness is expected to be equivalent to RSA (but not including RSA integers themselves). Most notably, we factor $n$-bit integers of the form $P^2 Q$ with $\log Q = \Theta(n^a)$ for $a \in (2/3, 1)$ in space and depth sublinear in n (specifically, $\widetilde{O}(\log Q)$) using $\widetilde{O}(n)$ quantum gates; for these integers, no known classical algorithms exploit the relatively small size of $Q$ to run asymptotically faster than general-purpose factoring algorithms. To our knowledge, this is the first polynomial-time circuit to achieve sublinear qubit count for a classically-hard factoring problem. We thus believe that factoring such numbers has potential to be the most concretely efficient classically-verifiable proof of quantumness currently known.
 
Our circuit builds on the quantum algorithm for squarefree decomposition discovered by Li, Peng, Du, and Suter (Nature Scientific Reports 2012), which relies on computing the Jacobi symbol in quantum superposition. The technical core of our contribution is a new space-efficient quantum algorithm to compute the Jacobi symbol of $A$ mod $B$, in the regime where $B$ is classical and much larger than $A$. Our circuit for computing the Jacobi symbol generalizes to related problems such as computing the greatest common divisor and modular inverses, and thus could be of independent interest.",2412.12558,,,,,,Accepted,Gregory D. Kahanamoku-Meyer,29 January,13:00,60
QIP,2026,contributed,Quantum Advantage from Sampling Shallow Circuits: Beyond Hardness of Marginals,,Daniel Grier;Daniel M. Kane;Jackson Morris;Anthony Ostuni;Kewen Wu,UC San Diego;UC San Diego;UC San Diego;UC San Diego;Institute for Advanced Study,"We construct a family of distributions $\{\mathcal{D}_n\}_n$ with $\mathcal{D}_n$ over $\{0,1\}^n$ and a family of depth-$7$ quantum circuits $\{C_n\}_n$ such that $\mathcal{D}_n$ is produced exactly by $C_n$ with the all zeros state as input, yet any constant-depth classical circuit with bounded fan-in gates evaluated on any binary product distribution has total variation distance $1 - e^{-\Omega(n)}$ from $\mathcal{D}_n$. Moreover, the quantum circuits we construct are geometrically local and use a relatively standard gate set: Hadamard, controlled-phase, CNOT, and Toffoli gates. All previous separations of this type suffer from some undesirable constraint on the classical circuit model or the quantum circuits witnessing the separation.
    
Our family of distributions is inspired by the Parity Halving Problem of Watts, Kothari, Schaeffer, and Tal (STOC, 2019), which built on the work of Bravyi, Gosset, and K\""onig (Science, 2018) to separate shallow quantum and classical circuits for relational problems.",,,,,,,Accepted,Daniel Grier,30 January,10:00,30
QIP,2026,merged_contributed,Computational aspects of the trace norm contraction coefficient,,Idris Delsol;Omar Fawzi;Jan Kochanowski;Akshay Ramachandran,"Inria, ENS Lyon;Inria, ENS Lyon;Inria, Télécom Paris - LTCI, Institut Polytechnique de Paris;Inria, ENS Lyon","We show that approximating the trace norm contraction coefficient of a quantum channel within a constant factor is NP-hard. Equivalently, this shows that determining the optimal success probability for encoding a bit in a quantum system undergoing noise is NP-hard. This contrasts with the classical analogue of this problem that can clearly be solved efficiently. Our hardness results also hold for deciding if the contraction coefficient is equal to 1. As a consequence, we show that deciding if a non-commutative graph has an independence number of at least 2 is NP-hard. In addition, we establish a converging hierarchy of semidefinite programming upper bounds on the contraction coefficient.",2507.16737,,,,,,AcceptedAsMerge,,,,
QIP,2026,contributed,Heisenberg-limited Hamiltonian learning continuous variable systems via engineered dissipation,,Tim Möbus;Andreas Bluhm;Tuvia Gefen;Yu Tong;Albert H. Werner;Cambyse Rouzé,"University of Tübingen;Univ. Grenoble Alpes, CNRS;The Hebrew University of Jerusalem;Duke University;University of Copenhagen;INRIA","Discrete and continuous variables oftentimes require different treatments in many learning tasks. Identifying the Hamiltonian governing the evolution of a quantum system is a fundamental task in quantum learning theory. While previous works mostly focused on quantum spin systems, where quantum states can be seen as superpositions of discrete bit-strings, relatively little is known about Hamiltonian learning for continuous-variable quantum systems.
    In this work we focus on learning the Hamiltonian of a bosonic quantum system, a common type of continuous-variable quantum system. This learning task involves an infinite-dimensional Hilbert space and unbounded operators, making mathematically rigorous treatments challenging. We introduce an analytic framework to study the effects of strong dissipation in such systems, enabling a rigorous analysis of cat qubit stabilization via engineered dissipation. This framework also supports the development of Heisenberg-limited algorithms for learning general bosonic Hamiltonians with higher-order terms of the creation and annihilation operators. Notably, our scheme requires a total Hamiltonian evolution time that scales only logarithmically with the number of modes and inversely with the precision of the reconstructed coefficients. On a theoretical level, we derive a new quantitative adiabatic approximation estimate for general Lindbladian evolutions with unbounded generators. Finally, we discuss possible experimental implementations.",2506.00606,,,,,,Accepted,Tim M¨obus,27 January,15:30,30
QIP,2026,contributed,Quantum Computing Enhanced Sensing,,Richard R. Allen;Francisco Machado;Isaac L. Chuang;Robert Huang;Soonwon Choi,"MIT;ITAMP, Harvard University;MIT;Caltech and Google;MIT","Quantum computing and quantum sensing represent two distinct frontiers of quantum information science. In this work, we harness quantum computing to solve a fundamental and practically important sensing problem: the detection of weak oscillating fields with unknown strength and frequency. We present a quantum computing enhanced sensing protocol that outperforms all existing approaches. Furthermore, we prove our approach is optimal by establishing the Grover-Heisenberg limit — a fundamental lower bound on the minimum sensing time. The key idea is to robustly digitize the continuous, analog signal into a discrete operation, which is then integrated into a quantum algorithm. Our metrological gain originates from quantum computation, distinguishing our protocol from conventional sensing approaches. Indeed, we prove that broad classes of protocols based on quantum Fisher information, finite-lifetime quantum memory, or classical signal processing are strictly less powerful. Our protocol is compatible with multiple experimental platforms. We propose and analyze a proof-of-principle experiment using nitrogen-vacancy centers, where meaningful improvements are achievable using current technology. This work establishes quantum computation as a powerful new resource for advancing sensing capabilities.",2501.07625,,,,,,Accepted,Richard R. Allen,27 January,16:00,30
QIP,2026,contributed,Two bases suffice for QMA1-completeness,,Henry Ma;Anand Natarajan,MIT;MIT,"We introduce a basis-restricted variant of the Quantum-k-Sat problem, in which each
term in the input Hamiltonian is required to be diagonal in either the standard or Hadamard
basis. Our main result is that the Quantum-6-Sat problem with this basis restriction is
already QMA1-complete, defined with respect to a natural gateset. Our construction is based
on the Feynman-Kitaev circuit-to-Hamiltonian construction, with a modified clock encoding
that interleaves two clocks in the standard and Hadamard bases. In light of the central role
played by CSS codes and the uncertainty principle in the proof of the NLTS theorem of Anshu,
Breuckmann, and Nirkhe (STOC ’23), we hope that the CSS-like structure of our Hamiltonians
will make them useful for progress towards a quantum PCP theorem.",,,,,,,Accepted,Henry Ma,26 January,16:30,30
QIP,2026,contributed,The NPA hierarchy does not always attain the commuting operator value,,Marco Fanizza;Larissa Kroell;Arthur Mehta;Connor Paddock;Denis Rochette;William Slofstra;Yuming Zhao,"Inria de Saclay, IPP;Department of Pure Mathematics, University of Waterloo;Department of Mathematics and Statistics, University of Ottawa;Department of Mathematics and Statistics, University of Ottawa;Department of Mathematics and Statistics, University of Ottawa;Institute for Quantum Computing and Department of Pure Mathematics, University of Waterloo;QMATH, Department of Mathematical Sciences, University of Copenhagen","We show that it is undecidable to determine whether the commuting operator value of a nonlocal game is strictly greater than 1/2. As a corollary, there is a boolean constraint system (BCS) nonlocal game for which the value of the Navascués, Pironio, and Acín (NPA) hierarchy does not attain the commuting operator value at any finite level. Our contribution involves establishing a computable mapping from Turing machines to BCS nonlocal games in which the halting property of the machine is encoded as a decision problem for the commuting operator value of the game. Our techniques are algebraic and distinct from those used to establish MIP*=RE. As a first step, we construct a mapping from Turing machines to elements of the tensor product of free algebras, showing that deciding positivity of those elements is coRE-hard. As a second step, we extend this mapping to further realize these elements as game polynomials for BCS games.",,,,,,,Accepted,Marco Fanizza,28 January,13:00,30
QIP,2026,contributed,Efficient Quantum Optimization via Dynamical Simulation,,Ahmet Burak Catli;Sophia Simon;Nathan Wiebe,University of Toronto;University of Toronto;University of Toronto,"We provide several quantum algorithms for continuous optimization that do not require gradient estimation. Instead, we encode the optimization problem into the dynamics of a physical system and coherently simulate the time evolution. 
    Our first two algorithms can find local optima of a differentiable function $f: \mathbb{R}^N \rightarrow \mathbb{R}$ by simulating either classical or quantum dynamics with friction via a time-dependent Hamiltonian. We show that for the benchmark problem of optimizing a locally quadratic objective function, these methods require a total of $O(N^2\kappa^2/h_x^2\epsilon)$ queries to a phase oracle to find an $\epsilon$-approximate local optimum, where $\kappa$ is the condition number of the Hessian matrix and $h_x$ is the discretization spacing. In contrast, we show that methods based on gradient descent require $O(N^{3/2}(1/\epsilon)^{\kappa \log(3)/4})$ queries.  This corresponds to an exponential separation between the query upper bounds for the benchmark problem.
    Our third algorithm can find the global optimum of $f$ by preparing a classical low-temperature thermal state via simulation of the classical Liouvillian operator associated with the Nosé Hamiltonian. We use results from the quantum thermodynamics literature to bound the thermalization time for the discrete system. Additionally, we analyze barren plateau effects that commonly plague quantum optimization algorithms and observe that our approach is vastly less sensitive to this problem than standard gradient-based optimization.
    Our results suggests that these dynamical optimization approaches may be far more scalable for future quantum machine learning, optimization and variational experiments than was widely believed.",https://arxi,,,,,,Accepted,Ahmet Burak C¸ath,26 January,14:00,30
QIP,2026,contributed,Adversarially robust quantum state learning and testing,,Maryam Aliakbarpour;Nai-Hui Chia;Vladimir Braverman;Yuhan Liu,Rice University;Rice University;Johns Hopkins University;Rice University,"Quantum state learning is a fundamental problem in physics and computer science. As near-term quantum devices are error-prone, it is important to design error-resistant algorithms. Apart from device errors, other unexpected factors could also affect the algorithm, such as careless human read-out error, or even a malicious hacker deliberately altering the measurement results. Thus, we want our algorithm to work even in the worst case when things go against our favor. 

We consider the practical setting of single-copy measurements and propose the $\gamma$-adversarial corruption model where an imaginary adversary can arbitrarily change $\gamma$-fraction of the measurement outcomes. This is stronger than the $\gamma$-bounded SPAM noise model, where the post-measurement state changes by at most $\gamma$ in trace distance. Under our stronger model of corruption, we design an algorithm using non-adaptive measurements that can learn an unknown rank-$r$ state up to $\tilde{O}(\gamma\sqrt{r})$ in trace distance, provided that the number of copies is sufficiently large. We further prove an information-theoretic lower bound of $\Omega(\gamma\sqrt{r})$ for non-adaptive measurements, demonstrating the optimality of our algorithm. 
Our upper and lower bounds also hold for quantum state testing, where the goal is to test whether an unknown state is equal to a given state or far from it.

Our results are intriguingly optimistic and pessimistic at the same time. For general states, the error is dimension-dependent and $\gamma\sqrt{d}$ in the worst case, meaning that only corrupting a very small fraction ($1/\sqrt{d}$) of the outcomes could totally destroy any non-adaptive learning algorithm. However, for constant-rank states that are useful in many quantum algorithms, it is possible to achieve dimension-independent error, even in the worst-case adversarial setting.",2508.13959,,,,,,Accepted,Maryam Aliakbarpour,29 January,13:00,30
QIP,2026,contributed,Fast quantum computation with all-to-all Hamiltonians,,Chao Yin,Stanford University,"All-to-all interactions arise naturally in many areas of theoretical physics and across diverse experimental quantum platforms, motivating a systematic study of their information-processing power. Assuming each pair of qubits interacts with $\mathcal{O}(1)$ strength, time-dependent all-to-all Hamiltonians can simulate arbitrary all-to-all quantum circuits, performing quantum computation in time proportional to the circuit depth. In this work, we show that this naive correspondence is far from optimal: all-to-all Hamiltonians can process information on much faster timescales.

Our first main result establishes that any two-qubit gate can be simulated by all-to-all Hamiltonians on $N$ qubits in time $\mathrm{O}(1/N)$ (up to factor $N^{\delta}$ with an arbitrarily small constant $\delta>0$), with polynomially small error $1/\mathrm{poly}(N)$. Immediate consequences include:  
1) Certain $\mathrm{O}(N)$-qubit unitaries, such as the multiply-controlled Toffoli gate, can be realized in $\mathrm{O}(1/N)$ time.  
2) Globally entangled states such as the GHZ and W states of $\mathrm{O}(N)$ qubits can be prepared in $\mathrm{O}(1/N)$ time.  
3) Any depth-$D$ circuit on $N_{\rm d}$ qubits can be simulated in arbitrarily short time $T=\mathrm{O}(DN_{\rm d}/N)$, inversely proportional to the space overhead $N/N_{\rm d}$.  
4) The existing Lieb-Robinson bound for strong power-law interactions $H_{ij}\sim r_{ij}^{-\gamma}$ in spatial dimension $\mathsf{d}>\gamma$ is tight, requiring time $T=\Omega(N^{\frac{\gamma}{\mathsf{d}}-1})$ for information to propagate.  

Our second main result shows that any depth-$D$ quantum circuit can be simulated in time $T=\mathrm{O}(D/\sqrt{N})$ with constant space overhead, with error $1/\mathrm{poly}(N)$ for almost all inputs. This “optimistic” simulation may suffice for practical purposes: for instance, building on prior work, we demonstrate that Shor’s factoring algorithm can be implemented by $\mathrm{O}(\sqrt{N})$-time Hamiltonian evolution with constant space overhead.  

The techniques underlying our results depart fundamentally from the existing literature on parallelizing commuting gates: We rely crucially on non-commuting Hamiltonians and draw on diverse ideas from semiclassical quantum mechanics, (spin) squeezing, Mølmer–Sørensen gates, and spin-wave physics.",,,,,,,Accepted,Chao Yin,26 January,14:30,30
QIP,2026,contributed,Quantum Codes with Addressable and Transversal Non-Clifford Gates,,Zhiyang (Sunny) He;Vinod Vaikuntanathan;Adam Wills;Rachel Yun Zhang,MIT;MIT;MIT;MIT,"The development of quantum codes with good error correction parameters and useful sets of transversal gates is an area of major interest in quantum error correction. Abundant prior works have studied transversal gates which are restricted to acting on all logical qubits simultaneously. In this work, we study codes that support transversal gates which induce addressable logical gates, i.e., the logical gates act only on logical qubits of our choice. As we consider scaling from low-rate to high-rate codes, the study and design of low-overhead, addressable logical operations presents an important problem for both theoretical and practical purposes.

In this work, we construct the first quantum codes to support transversally addressable non-Clifford gates. Concretely, given any three logical qubits across one or multiple codeblocks, one can execute the logical CCZ on those qubits via a depth-one physical circuit of CCZ gates. We present a simple, explicit construction based on Reed-Solomon codes that is nearly asymptotically good, and a more involved, asymptotically good construction based on transitive, iso-orthogonal algebraic geometry codes. We go on to develop a powerful theory of quantum codes supporting a rich class of transversally addressable gates in the Clifford hierarchy, going far beyond just the CCZ gate. We call this framework addressable orthogonality, and show that it can be used to construct asymptotically good quantum codes supporting an arbitrary product of multiply-controlled Z gates transversally and addressably, enabling major adaptivity to particular algorithms.

Our constructions mark the first quantum codes to support any multi-qubit gate transversally and addressably. Accordingly, our results have major implications for the general addressabilitiy problem in error correction. This is a merged submission based on arXiv:2502.01864 and arXiv:2507.05392.","2502.01864, 2507.05392",,,,,,Accepted,Zhiyang (Sunny) He,27 January,16:30,30
QIP,2026,contributed,Optimal Distillation of Qubit Clocks,,Sujay Kazi;Iman Marvian,Duke University;Duke University,"The problem of coherence distillation asks: given multiple copies of a coherent input state, produce a coherent output state with much less noise (that is, much closer to a pure coherent state), in such a way that the time evolution of the output state matches the time evolution of the input state. We thoroughly address this problem for the case of qubit states. Principally, we compute the distillation channel that is asymptotically optimal in the limit of a large number of input qubit states and compute the resulting infidelity (one minus fidelity) between the output qubit state and the desired pure state. We show that this infidelity is closely related to a resource known as purity of coherence, a quantity obtained from the Right Logarithmic Derivative (RLD) Fisher information metric. We thus demonstrate an operational meaning for purity of coherence as the quantity whose monotonicity on time-translation invariant channels sets the strongest asymptotic bound on the capability of coherence distillation for qubit states. For a special choice of input and output state, we additionally investigate a number of extensions of this primary result. In particular, we present numerical schemes to produce the exact optimal distillation protocol for a fixed value of $N$, extend the computation of the optimal protocol and the minimum infidelity to the $1/N^2$ and $1/N^3$ orders, estimate the amount of purity of coherence that is dissipated by the optimal distillation protocol, and compute the mathematical behavior of the protocol more precisely in the low-noise and high-noise limits.",,,,,,,Accepted,Sujay Kazi,27 January,13:00,30
QIP,2026,plenary,Constructive counterexamples to the additivity of minimum output Rényi entropy of quantum channels for all p>1,,Harm Derksen;Benjamin Lovitz,Northeastern University;Concordia University,"We present explicit quantum channels with stictly sub-additive minimum output Rényi entropy for all p>1, improving upon prior constructions which handled p>2. Our example is provided by explicit constructions of linear subspaces with high geometric measure of entanglement. Our construction applies in both the bipartite and multipartite settings. As further applications, we use our construction to find entanglement witnesses with many highly negative eigenvalues, and to construct highly entangled mixed quantum states.",,,,,,,AcceptedAsPlenary,,,,
QIP,2026,contributed,Quantum Circuit Complexity of Matrix-Product Unitaries,,Georgios Styliaris;Rahul Trivedi;J. Ignacio Cirac,Max Planck Institute of Quantum Optics;Max Planck Institute of Quantum Optics;Max Planck Institute of Quantum Optics,"Matrix-product unitaries (MPUs) are many-body unitary operators that, as a consequence of their tensor-network structure, preserve the entanglement area law in 1D systems. However, it is unknown how to implement an MPU as a quantum circuit since the individual tensors describing the MPU are not unitary. In this paper, we show that a large class of MPUs can be implemented with a polynomial-depth quantum circuit. For an $N$-site MPU built from a repeated bulk tensor with open boundary, we explicitly construct a quantum circuit of polynomial depth $T = O(N^{\alpha})$ realizing the MPU, where the constant $\alpha$ depends only on the bulk and boundary tensor and not the system size $N$. We show that this class includes nontrivial unitaries that generate long-range entanglement and, in particular, contains a large class of unitaries constructed from representations of $C^*$-weak Hopf algebras. Furthermore, we also adapt our construction to nonuniform translationally-varying MPUs and show that they can be implemented by a circuit of depth $O(N^{\beta} \, \mathrm{poly}\, D)$ where $\beta \le  1 + \log_2 \sqrt{D}/ s_{\min}$, with $D$ being the bond dimension and $s_{\min}$ is the smallest nonzero Schmidt value of the normalized Choi state corresponding to the MPU.",2508.08160,,,,,,Accepted,Georgios Styliaris,29 January,16:30,30
QIP,2026,merged_contributed,The Sponge is Quantum Indifferentiable,,Gorjan Alagic;Joseph Carolan;Christian Majenz;Saliha Tokat,"University of Maryland and NIST;University of Maryland, College Park;Technical University of Denmark;Technical University of Denmark","The sponge is a cryptographic construction that turns a public permutation into a
hash function. When instantiated with the Keccak permutation, the sponge forms the
NIST SHA-3 standard. SHA-3 is a core component of most post-quantum public-key
cryptography schemes slated for worldwide adoption.
While one can consider many security properties for the sponge, the ultimate one
is indifferentiability from a random oracle, or simply indifferentiability. The sponge was
proved indifferentiable against classical adversaries by Bertoni et al. in 2008. Despite
significant efforts in the years since, little is known about sponge security against
quantum adversaries, even for simple properties like preimage or collision resistance
beyond a single round. This is primarily due to the lack of a satisfactory quantum
analog of the lazy sampling technique for permutations.
In this work, we develop a specialized technique that overcomes this barrier in the
case of the sponge. We prove that the sponge is in fact indifferentiable from a random
oracle against quantum adversaries. Our result establishes that the domain extension
technique behind SHA-3 is secure in the post-quantum setting. Our indifferentiability
bound for the sponge is a loose O(poly(q)2^(−min(r,c)/4)), but we also give bounds on
preimage and collision resistance that are tighter.",arxi,,,,,,AcceptedAsMerge,,,,
QIP,2026,merged_contributed,Bounding the asymptotic quantum value of all multipartite compiled non-local games,,Matilde Baroni;Dominik Leichtle;Siniša Janković;Ivan Šupić,"Sorbonne Université, CNRS, LIP6;School of Informatics, University of Edinburgh;Faculty of Physics, University of Belgrade;Université Grenoble Alpes, CNRS, Grenoble INP, LIG","Non-local games are a powerful tool to distinguish between correlations possible in classical and quantum worlds.
Kalai et al. (STOC'23) proposed a compiler that converts multipartite non-local games into interactive protocols with a single prover, relying on cryptographic tools to remove the assumption of physical separation of the players.
While quantum completeness and classical soundness of the construction have been established for all multipartite games, quantum soundness is known only in the special case of bipartite games.

In this paper, we prove that the Kalai \emph{et al.}'s compiler indeed achieves quantum soundness for all multipartite compiled non-local games, by showing that any correlations that can be generated in the asymptotic case correspond to quantum commuting strategies.

Our proof uses techniques from the theory of operator algebras, and relies on a characterisation of sequential operationally no-signalling strategies as quantum commuting operator strategies in the multipartite case, thereby generalising several previous results.
On the way, we construct universal C*-algebras of sequential PVMs and prove a new chain rule for Radon-Nikodym derivatives of completely positive maps on C*-algebras which may be of independent interest.",2507.12408,,,,,,AcceptedAsMerge,,,,
QIP,2026,merged_contributed,Computational relative entropy,,Johannes Jakob Meyer;Asad Raza;Jacopo Rizzo;Lorenzo Leone;Sofiene Jerbi;Jens Eisert,"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin;Dahlem Center for Complex Quantum Systems, Freie Universität Berlin;Dahlem Center for Complex Quantum Systems, Freie Universität Berlin;Dahlem Center for Complex Quantum Systems, Freie Universität Berlin;Dahlem Center for Complex Quantum Systems, Freie Universität Berlin;Dahlem Center for Complex Quantum Systems, Freie Universität Berlin","Our capacity to process information depends on the computational power at our disposal. Information theory captures our ability to distinguish states or communicate messages when it is unconstrained with unrivaled beauty and elegance. For computationally bounded observers the situation is quite different -- they can, for example, be fooled to believe that distributions are more random than they actually are. Existing mathematical approaches in computational information theory largely follow the single-shot paradigm that, while being operationally meaningful, also gives complicated statements and is difficult to build intuition for. In our work, we take a new direction in computational quantum information theory that captures the essence of complexity-constrained information theory while retaining the look and feel of the unbounded asymptotic theory. As our foundational quantity, we define the computational relative entropy as the optimal error exponent in asymmetric hypothesis testing when restricted to polynomially many copies and quantum gates, defined in a mathematically rigorous way. Building on this foundation, we prove a computational analogue of Stein's lemma, establish computational versions of fundamental inequalities like Pinsker's bound, and demonstrate a computational smoothing property showing that computationally indistinguishable states yield equivalent information measures. We derive a computational entropy that operationally characterizes optimal compression rates for quantum states under computational limitations and show that our quantities apply to computational entanglement theory, proving a computational version of the Rains bound. Our framework reveals striking separations between computational and unbounded information measures, including quantum-classical gaps that arise from cryptographic assumptions, demonstrating that computational constraints fundamentally alter the information-theoretic landscape and open new research directions at the intersection of quantum information, complexity theory, and cryptography.",,,,,,,AcceptedAsMerge,,,,
